ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey_x,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey,Make,Year_x,BaseModel,BodyClass,Cylinders,Displacement,Transmission,Drivetrain,FuelType,CityMPG,HighwayMPG,RoadName_x,RouteType_x,RoadName_y,RouteType_y,RoadKey_y,Zipcode,MailCity,ShapeLength,ShapeArea,CentroidLatitude,CentroidLongitude,Temperature,Humidity,Precipitation,Rain,Snow,WindSpeed,WindDirection,WeatherKey,Datetime,Hour,TimeOfDay,DayNumber,WeekDayNumber,WeekDayName,WeekendFlag,MonthNumber,MonthName,Year_y,HolidayFlag,HolidayName
DM8478002F,D02DD54D86474B38B2EC582867B139D8,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,ACCELERATING,UNKNOWN,FUNCTIONAL,5,False,False,1,4834438297196376,230069264,Takoma Park Police Depart,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,SAME DIR REAR END,UNKNOWN,DAYLIGHT,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,38.98672489,-76.98772022,7781945108562677,7781945108562677,0,0,0,2023120110,7700204038982546,Honda,2012,Pilot,Sport Utility Vehicle - 2WD,6.0,3.5,Automatic 5,AWD,Regular Gasoline,17,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7781945108562677,20912,TAKOMA PARK,51232.0653417,65209197.2692,38.98254687160147,-77.00204079343348,4.248,77.70154,0.0,0.0,0.0,9.793058,162.89719,231201107002089825,2023-12-01 10:00:00,10,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP29680059,D5C0DF93DECC489494AFA794926FE806,True,NO APPARENT INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,MAKING LEFT TURN,East,SUPERFICIAL,35,False,False,2,8961481787963722,230069284,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.04086667,-77.159195,5080022737134299,776419263324954,0,0,0,2023120111,7722348939035838,Mazda,0,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,TUCKERMAN LA,County,SEVEN LOCKS RD,County,776419263324954,20854,POTOMAC,228033.395393,1043434019.25,39.035838792614044,-77.22348935970544,5.613,73.32038,0.0,0.0,0.0,4.1046314,105.25517,231201117223490358,2023-12-01 11:00:00,11,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP29680059,8CEA6B3DED404177BC1252B40445636E,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,35,False,False,2,5867016717182288,230069284,Montgomery County Police,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.04086667,-77.159195,5080022737134299,776419263324954,0,0,0,2023120111,7722348939035838,Honda,2014,CR-V,Small Sport Utility Vehicle 2WD,4.0,2.4,Automatic 5,AWD,Regular Gasoline,22,29,TUCKERMAN LA,County,SEVEN LOCKS RD,County,776419263324954,20854,POTOMAC,228033.395393,1043434019.25,39.035838792614044,-77.22348935970544,5.613,73.32038,0.0,0.0,0.0,4.1046314,105.25517,231201117223490358,2023-12-01 11:00:00,11,AM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3348001P,46B30211A7E9471EA37DE5511EEBA435,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,35,False,False,1,2134147717635417,230069287,Montgomery County Police,Property Damage ,False,East,0,2,LEVEL,False,False,DRIVER,SINGLE VEHICLE,UNKNOWN,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.109355,-77.08129333,9915941979319439,418179445979580,0,0,0,2023120112,7709494939102237,Hyundai,2019,Tucson,Small Sport Utility Vehicle 2WD,4.0,2.0,Automatic 6,AWD,Regular Gasoline,22,25,MUNCASTER MILL RD,Maryland (State),NORBECK RD,Maryland (State),418179445979580,20853,ROCKVILLE,107159.737926,251565963.373,39.10223780997231,-77.09494972634171,6.222,72.38987,0.0,0.0,0.0,6.6087217,150.64235,231201127094991022,2023-12-01 12:00:00,12,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP93650027,2DF6782DF2FC4FBE8D44E67EC6F018B1,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,North,FUNCTIONAL,55,False,False,2,1374907413150362,230069292,Montgomery County Police,Injury ,False,North,1,3,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10405521,-76.93308135,2620072274155517,5009223039224662,0,0,0,2023120112,7693347839109025,Toyota,2007,Sienna,Minivan - 2WD,6.0,3.5,Automatic 5,AWD,Regular Gasoline,16,21,COLUMBIA PIKE,US (State),BLACKBURN RD,County,5009223039224662,20866,BURTONSVILLE,86124.9897852,201917467.932,39.109025991604476,-76.93347813258762,6.1315,71.598976,0.0,0.0,0.0,8.473393,192.26476,231201126933491090,2023-12-01 12:00:00,12,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP93650027,A56BABF9151E4302A65F16F029E62DE7,False,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,FUNCTIONAL,55,False,False,2,3097115414319252,230069292,Montgomery County Police,Injury ,False,North,1,3,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10405521,-76.93308135,2620072274155517,5009223039224662,0,0,0,2023120112,7693347839109025,Honda,2009,Accord,Compact Cars,4.0,2.4,Automatic 5,FWD,Regular Gasoline,19,30,COLUMBIA PIKE,US (State),BLACKBURN RD,County,5009223039224662,20866,BURTONSVILLE,86124.9897852,201917467.932,39.109025991604476,-76.93347813258762,6.1315,71.598976,0.0,0.0,0.0,8.473393,192.26476,231201126933491090,2023-12-01 12:00:00,12,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP93650028,4EB5510184F041ECB0D6B2120B569AC2,True,NO APPARENT INJURY,NONE,UNKNOWN,BUS,SLOWING OR STOPPING,West,NO DAMAGE,15,False,False,2,6691677547236723,230069308,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.07675862,-76.95777913,2620072274155517,9379816367228454,0,0,0,2023120113,7698062539067210,Thomas,0,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,COLUMBIA PIKE,US (State),RAMP 10 FR US 29 SB TO FAIRLAND RD WB,Ramp,9379816367228454,20904,SILVER SPRING,111353.924037,378079609.413,39.067210105337146,-76.9806252802688,7.061,73.585915,0.0,0.0,0.0,6.28713,156.3706,231201136980690672,2023-12-01 13:00:00,13,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP93650028,CBBD5A1C49DF4A5BBCBAC26C7D5AE7FE,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,West,SUPERFICIAL,15,False,False,2,6578981153251807,230069308,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.07675862,-76.95777913,2620072274155517,9379816367228454,0,0,0,2023120113,7698062539067210,Mazda,2017,3,Compact Cars,4.0,2.5,Automatic 6,FWD,Regular Gasoline,27,37,COLUMBIA PIKE,US (State),RAMP 10 FR US 29 SB TO FAIRLAND RD WB,Ramp,9379816367228454,20904,SILVER SPRING,111353.924037,378079609.413,39.067210105337146,-76.9806252802688,7.061,73.585915,0.0,0.0,0.0,6.28713,156.3706,231201136980690672,2023-12-01 13:00:00,13,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP2962008L,E14066F6AA2D4F1B94D29B74DC095C0B,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,40,False,False,2,9448444304362588,230069303,Montgomery County Police,Injury ,False,West,2,2,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15613314,-77.26454295,278210474574513,575358522950523,0,0,0,2023120113,7729807639132189,Ford,1999,F150,Standard Pickup Trucks 2WD,8.0,4.2,Automatic 4,AWD,Regular Gasoline,12,16,CLOPPER RD,Maryland (State),CINNAMON DR,County,575358522950523,20874,GERMANTOWN,213170.688025,650470416.446,39.13218979347731,-77.29807649150253,7.4235,69.33881,0.0,0.0,0.0,5.991594,147.26479,231201137298091321,2023-12-01 13:00:00,13,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP2962008L,BE9713E824BF4409B9DCE791FE466C0B,True,SUSPECTED MINOR INJURY,NONE,UNKNOWN,PASSENGER,STARTING FROM LANE,South,DISABLING,25,False,False,2,169882034046610,230069303,Montgomery County Police,Injury ,False,West,2,2,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DAYLIGHT,STOP SIGN,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15613314,-77.26454295,278210474574513,575358522950523,0,0,0,2023120113,7729807639132189,Hyundai,2018,Sonata,Large Cars,4.0,2.0,Automatic 6,FWD,Regular Gasoline,25,32,CLOPPER RD,Maryland (State),CINNAMON DR,County,575358522950523,20874,GERMANTOWN,213170.688025,650470416.446,39.13218979347731,-77.29807649150253,7.4235,69.33881,0.0,0.0,0.0,5.991594,147.26479,231201137298091321,2023-12-01 13:00:00,13,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP2399007H,06A44749C6574DC5B7E49F5D36C4D78A,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,BACKING,North,NO DAMAGE,5,False,False,2,4388222181599303,230069332,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.1831371,-77.2157308,7781945108562677,7781945108562677,0,0,0,2023120114,7722140839165105,MINI,2003,Cooper,Minicompact Cars,4.0,1.6,Automatic CVT,FWD,Premium Gasoline,22,29,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7781945108562677,20879,GAITHERSBURG,50301.4463035,51770472.6185,39.165105759385,-77.22140856808433,7.975,69.69819,0.1,0.1,0.0,10.144082,152.52565,231201147221491651,2023-12-01 14:00:00,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP2399007H,900C57C1D32A4AEDB53F20B0E96B383D,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,BUS,STOPPED IN TRAFFIC LANE,South,NO DAMAGE,5,False,False,2,6691677547236723,230069332,Montgomery County Police,Property Damage ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.1831371,-77.2157308,7781945108562677,7781945108562677,0,0,0,2023120114,7722140839165105,Thomas,0,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7781945108562677,20879,GAITHERSBURG,50301.4463035,51770472.6185,39.165105759385,-77.22140856808433,7.975,69.69819,0.1,0.1,0.0,10.144082,152.52565,231201147221491651,2023-12-01 14:00:00,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3328002Z,FA98ACFC05E1408B9351A221ECFBD2AE,True,NO APPARENT INJURY,ALCOHOL,UNKNOWN,PASSENGER,SLOWING OR STOPPING,South,SUPERFICIAL,30,False,False,2,7004010053981027,230069325,Montgomery County Police,Property Damage ,False,South,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04367483,-77.03068005,2279749586629528,8014065428192237,0,0,0,2023120114,7704240439043964,Honda,2017,Civic,Compact Cars,4.0,1.5,Manual 6,FWD,Regular Gasoline,30,39,ARCOLA AVE,County,KERSEY RD,County,8014065428192237,20902,SILVER SPRING,106667.47762,213127715.894,39.043964218321996,-77.04240449690725,7.644,75.26775,0.1,0.1,0.0,9.19939,120.57915,231201147042490439,2023-12-01 14:00:00,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP3328002Z,EBF59D505AA647F5AE96E3AE10FF92F7,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,South,SUPERFICIAL,30,False,False,2,7004010070758646,230069325,Montgomery County Police,Property Damage ,False,South,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04367483,-77.03068005,2279749586629528,8014065428192237,0,0,0,2023120114,7704240439043964,Honda,2014,Civic,Compact Cars,4.0,1.8,Automatic CVT,FWD,Regular Gasoline,29,37,ARCOLA AVE,County,KERSEY RD,County,8014065428192237,20902,SILVER SPRING,106667.47762,213127715.894,39.043964218321996,-77.04240449690725,7.644,75.26775,0.1,0.1,0.0,9.19939,120.57915,231201147042490439,2023-12-01 14:00:00,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
MCP30090075,0F8B5CFF6F244B7997FBC1F44410103D,False,POSSIBLE INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,30,False,False,2,2781967101306616,230069321,Montgomery County Police,Injury ,False,East,1,1,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,WET,DAYLIGHT,NO CONTROLS,UNKNOWN,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.28328446,-77.20813873,97790886312176,8207334986855977,0,0,0,2023120114,7721721839291851,Ford,2006,F150,Standard Pickup Trucks 2WD,8.0,5.4,Automatic 4,RWD,Regular Gasoline,12,17,BETHESDA CHURCH RD,County,RIDGE MANOR DR,UNKNOWN,8207334986855977,20872,DAMASCUS,179417.342235,548226849.644,39.29185112010591,-77.21721805979222,7.409,67.86778,0.1,0.1,0.0,11.966954,164.2913,231201147217292918,2023-12-01 14:00:00,14,PM,335,4,Friday,0,12,December,2023,0,Unknown
