ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey
MCP3347001F,188CE49BAD624171B9F8A3883B5DB1AF,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MOVING CONSTANT SPEED,East,FUNCTIONAL,35,False,False,2,538750821328811,230069347,Montgomery County Police,Property Damage ,False,East,0,2,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REND LEFT TURN,WET,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.98889918,-77.14974232,1363718650800826,2810990849197631,0,0,0,2023120116,7715220038996189
MCP28630032,5F40872B5293404BA817E55A20D39FC1,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,West,DISABLING,40,False,False,2,4595510051903263,230069345,Montgomery County Police,Property Damage ,False,North,1,4,GRADE DOWNHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DUSK,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11232167,-77.1871625,1611524329361443,7127997691671892,0,0,0,2023120116,7718751639140820
MCP28630032,90E71DBC365D40BEB71C8C7BA27B9087,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,TRUCK,SLOWING OR STOPPING,North,SUPERFICIAL,40,False,False,2,4875847080571780,230069345,Montgomery County Police,Property Damage ,False,North,1,4,GRADE DOWNHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,WET,DUSK,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11232167,-77.1871625,1611524329361443,7127997691671892,0,0,0,2023120116,7718751639140820
MCP3220004G,EC6CEE0DAF634832A2D90EDB5D1CB0EA,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,35,False,False,3,6941268272467332,230069349,Montgomery County Police,Property Damage ,False,South,1,4,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12366867,-77.17937717,4972572914805173,6804416543578716,0,0,0,2023120116,7718751639140820
MCP3220004G,B6C7AB1D93904EA89E53460CCA349BFE,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,DISABLING,35,False,False,3,819104295066031,230069349,Montgomery County Police,Property Damage ,False,South,1,4,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12366867,-77.17937717,4972572914805173,6804416543578716,0,0,0,2023120116,7718751639140820
MCP3220004G,05130BFF5F6E40659E7D33232B4C8E38,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,35,False,False,3,4552950317993404,230069349,Montgomery County Police,Property Damage ,False,South,1,4,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12366867,-77.17937717,4972572914805173,6804416543578716,0,0,0,2023120116,7718751639140820
MCP3245004R,FE42F20BF5324F7A89CAD8962978CC44,True,NO APPARENT INJURY,ALCOHOL,LOOKED BUT DID NOT SEE,PASSENGER,MOVING CONSTANT SPEED,South,SUPERFICIAL,10,False,True,1,819104462842221,23069359,Montgomery County Police,Injury ,False,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.1269323,-77.2595165,7781945108562677,7781945108562677,1,1,0,2023120117,7724972439113159
MCP3259003W,B28BC570C5AA482DAA849F677616F1A2,True,NO APPARENT INJURY,NONE,OTHER DISTRACTION,PASSENGER,MOVING CONSTANT SPEED,East,FUNCTIONAL,30,False,False,1,1032942965443017,230069363,Montgomery County Police,Property Damage ,False,East,1,1,LEVEL,False,False,DRIVER,SINGLE VEHICLE,WET,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.95471167,-77.12832667,8599911420118079,416041484875041,0,0,0,2023120117,7711806238956479
MCP30930052,A1247BD6DD0E462BA59A923777800C01,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,UNKNOWN,MAKING RIGHT TURN,West,UNKNOWN,35,False,False,1,8168321465439775,230071338,Montgomery County Police,Injury ,True,North,3,3,LEVEL,False,False,DRIVER,OTHER,UNKNOWN,DARK LIGHTS ON,UNKNOWN,UNKNOWN,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9638525,-77.08713637,7307765282026999,1281176032118226,1,1,0,2023120117,7707842038983818
MCP295400DR,F903A05D23D547F0A8EF53743920CDB9,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,East,DISABLING,35,False,False,1,8799324775554038,230069360,Montgomery County Police,Property Damage ,False,East,0,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.01908217,-77.011565,5005946941929880,5247674275999428,0,0,0,2023120117,7700923739021308
MCP2930003X,17A99D2928B0455491E71A6DCFBAF86B,True,NO APPARENT INJURY,NONE,OTHER DISTRACTION,PASSENGER,SLOWING OR STOPPING,East,DISABLING,15,False,False,1,5118867093033853,230069362,Montgomery County Police,Property Damage ,True,UNKNOWN,0,0,UNKNOWN,True,True,DRIVER,OTHER,UNKNOWN,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.05800983,-77.03784583,7781945108562677,7781945108562677,0,0,0,2023120117,7704240439043964
MCP31380064,7B921765E1F7474E844DE67DE1720F10,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,EMERGENCY,SLOWING OR STOPPING,East,DISABLING,30,False,False,1,5165463379383337,230069389,Montgomery County Police,Property Damage ,False,East,1,2,LEVEL,False,False,DRIVER,SINGLE VEHICLE,WET,DARK NO LIGHTS,UNKNOWN,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, NOT DIVIDED",39.06003132,-77.03912349,670409629174736,9987350733104536,0,0,0,2023120117,7704240439043964
MCP289200FN,F28511F41501411B9DCC8485D8A804AB,True,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,SKIDDING,East,DISABLING,30,False,False,1,3233063173565461,230069361,Montgomery County Police,Injury ,False,East,1,1,LEVEL,False,False,DRIVER,SINGLE VEHICLE,WET,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,HOLES RUTS ETC,"TWO-WAY, NOT DIVIDED",39.01487833,-77.0545,5564981422910326,424439313025704,0,0,0,2023120117,7703596439001907
